rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-76, 0, 0, -111, -13, 2, 4, , 2020-08-15T11:02:39.165829
-76, 0, 0, -111, -13, 2, 4, , 2020-08-15T11:02:40.502906
-76, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:41.842982
-76, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:43.183059
-79, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:02:44.503135
-79, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:02:45.828210
-79, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:47.142286
-79, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:48.464361
-79, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:02:49.766436
-79, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:02:51.086511
-79, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:02:52.402586
-79, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:53.745663
-79, 0, 0, -112, -14, 2, 2, , 2020-08-15T11:02:55.085740
-81, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:02:56.402815
-81, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:02:57.745892
-78, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:02:59.061967
-78, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:03:00.382043
-80, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:03:01.723120
-80, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:03:03.079197
-80, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:03:04.404273
-77, 0, 0, -113, -13, 2, 1, , 2020-08-15T11:03:05.743349
-77, 0, 0, -113, -13, 2, 1, , 2020-08-15T11:03:07.066425
-77, 0, 0, -105, -12, 2, 1, , 2020-08-15T11:03:08.366500
-77, 0, 0, -105, -12, 2, 1, , 2020-08-15T11:03:09.701576
-79, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:03:11.020651
-79, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:03:12.343727
-79, 0, 0, -111, -12, 2, 3, , 2020-08-15T11:03:13.696804
-79, 0, 0, -111, -12, 2, 3, , 2020-08-15T11:03:15.019880
-79, 0, 0, -111, -12, 2, 3, , 2020-08-15T11:03:16.339956
-79, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:17.701033
-79, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:19.006108
-79, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:20.323183
-79, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:21.682261
-77, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:23.001337
-77, 0, 0, -111, -13, 2, 3, , 2020-08-15T11:03:24.305411
-80, 0, 0, -112, -14, 2, 3, , 2020-08-15T11:03:25.669489
-80, 0, 0, -112, -14, 2, 3, , 2020-08-15T11:03:27.001565
-80, 0, 0, -112, -14, 2, 3, , 2020-08-15T11:03:28.305640
-80, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:03:29.635716
-80, 0, 0, -112, -13, 2, 2, , 2020-08-15T11:03:30.978793
-80, 0, 0, -111, -13, 2, 2, , 2020-08-15T11:03:32.284868
-80, 0, 0, -111, -13, 2, 2, , 2020-08-15T11:03:33.615944
-80, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:03:34.939019
-80, 0, 0, -112, -13, 2, 3, , 2020-08-15T11:03:36.250094
-80, 0, 0, -112, -14, 2, 3, , 2020-08-15T11:03:37.576170
