rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-72, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:44:59.109230
-75, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:45:00.430306
-75, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:45:01.748381
-72, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:03.049456
-72, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:04.386532
-74, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:05.688607
-74, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:07.005682
-74, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:08.343758
-74, 0, 0, -106, -12, 2, 5, , 2020-08-20T13:45:09.670834
-74, 0, 0, -106, -12, 2, 5, , 2020-08-20T13:45:10.988910
-74, 0, 0, -105, -12, 2, 3, , 2020-08-20T13:45:12.307985
-74, 0, 0, -105, -12, 2, 3, , 2020-08-20T13:45:13.625061
-74, 0, 0, -106, -13, 2, 5, , 2020-08-20T13:45:14.964137
-74, 0, 0, -106, -13, 2, 5, , 2020-08-20T13:45:16.267212
-74, 0, 0, -106, -13, 2, 5, , 2020-08-20T13:45:17.575286
-72, 0, 0, -106, -13, 2, 6, , 2020-08-20T13:45:18.886361
-72, 0, 0, -106, -13, 2, 6, , 2020-08-20T13:45:20.206437
-72, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:21.506511
-72, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:22.827587
-72, 0, 0, -105, -14, 2, 4, , 2020-08-20T13:45:24.143662
-72, 0, 0, -105, -14, 2, 4, , 2020-08-20T13:45:25.485739
-72, 0, 0, -106, -14, 2, 5, , 2020-08-20T13:45:26.803814
-72, 0, 0, -106, -14, 2, 5, , 2020-08-20T13:45:28.122890
-72, 0, 0, -106, -14, 2, 5, , 2020-08-20T13:45:29.465967
-75, 0, 0, -106, -12, 2, 7, , 2020-08-20T13:45:30.767041
-75, 0, 0, -106, -12, 2, 7, , 2020-08-20T13:45:32.086116
-75, 0, 0, -106, -12, 2, 3, , 2020-08-20T13:45:33.423193
-75, 0, 0, -106, -12, 2, 3, , 2020-08-20T13:45:34.762270
-75, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:36.067344
-75, 0, 0, -105, -12, 2, 5, , 2020-08-20T13:45:37.404421
-75, 0, 0, -106, -12, 2, 3, , 2020-08-20T13:45:38.724496
-75, 0, 0, -106, -12, 2, 3, , 2020-08-20T13:45:40.044572
-75, 0, 0, -106, -12, 2, 3, , 2020-08-20T13:45:41.384648
-72, 0, 0, -104, -11, 3, 7, , 2020-08-20T13:45:42.706724
-72, 0, 0, -104, -11, 3, 7, , 2020-08-20T13:45:44.020799
-75, 0, 0, -107, -12, 2, 3, , 2020-08-20T13:45:45.359876
-75, 0, 0, -107, -12, 2, 3, , 2020-08-20T13:45:46.664950
-75, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:45:47.982026
-75, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:45:49.318102
-75, 0, 0, -107, -12, 2, 5, , 2020-08-20T13:45:50.642178
-75, 0, 0, -107, -12, 2, 5, , 2020-08-20T13:45:51.961253
-75, 0, 0, -107, -12, 2, 5, , 2020-08-20T13:45:53.282329
-73, 0, 0, -105, -12, 2, 7, , 2020-08-20T13:45:54.601404
-73, 0, 0, -105, -12, 2, 7, , 2020-08-20T13:45:55.903479
-73, 0, 0, -105, -12, 2, 4, , 2020-08-20T13:45:57.240555
-73, 0, 0, -105, -12, 2, 4, , 2020-08-20T13:45:58.561631
-73, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:45:59.880706
-73, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:46:01.225783
-73, 0, 0, -106, -12, 2, 6, , 2020-08-20T13:46:02.541858
-73, 0, 0, -105, -11, 2, 7, , 2020-08-20T13:46:03.882935
-73, 0, 0, -105, -11, 2, 7, , 2020-08-20T13:46:05.206011
-73, 0, 0, -105, -11, 2, 6, , 2020-08-20T13:46:06.526086
-73, 0, 0, -105, -11, 2, 6, , 2020-08-20T13:46:07.842162
-75, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:46:09.142236
-75, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:46:10.482313
-71, 0, 0, -104, -13, 3, 8, , 2020-08-20T13:46:11.801388
-71, 0, 0, -104, -13, 3, 8, , 2020-08-20T13:46:13.124464
-71, 0, 0, -104, -13, 3, 8, , 2020-08-20T13:46:14.440539
-73, 0, 0, -104, -13, 3, 10, , 2020-08-20T13:46:15.779616
-73, 0, 0, -104, -13, 3, 10, , 2020-08-20T13:46:17.104691
-70, 0, 0, -104, -13, 3, 7, , 2020-08-20T13:46:18.440768
-70, 0, 0, -104, -13, 3, 7, , 2020-08-20T13:46:19.765844
-72, 0, 0, -103, -11, 3, 7, , 2020-08-20T13:46:21.081919
-72, 0, 0, -103, -11, 3, 7, , 2020-08-20T13:46:22.401994
-72, 0, 0, -103, -11, 3, 7, , 2020-08-20T13:46:23.740071
-72, 0, 0, -103, -11, 3, 7, , 2020-08-20T13:46:25.060146
-72, 0, 0, -103, -11, 3, 7, , 2020-08-20T13:46:26.404223
-72, 0, 0, -104, -11, 3, 6, , 2020-08-20T13:46:27.720299
-72, 0, 0, -104, -11, 3, 6, , 2020-08-20T13:46:29.045374
-72, 0, 0, -104, -12, 3, 4, , 2020-08-20T13:46:30.364450
-72, 0, 0, -104, -12, 3, 4, , 2020-08-20T13:46:31.664524
-74, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:33.002601
-74, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:34.322676
-74, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:46:35.636751
-74, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:46:36.977828
-74, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:46:38.297904
-74, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:39.619979
-74, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:40.939055
-74, 0, 0, -105, -12, 2, 8, , 2020-08-20T13:46:42.258130
-74, 0, 0, -105, -12, 2, 8, , 2020-08-20T13:46:43.598207
-74, 0, 0, -105, -13, 2, 7, , 2020-08-20T13:46:44.918282
-74, 0, 0, -105, -13, 2, 7, , 2020-08-20T13:46:46.240358
-74, 0, 0, -105, -13, 2, 7, , 2020-08-20T13:46:47.594435
-71, 0, 0, -106, -14, 2, 3, , 2020-08-20T13:46:48.922511
-71, 0, 0, -106, -14, 2, 3, , 2020-08-20T13:46:50.237586
-71, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:51.581663
-71, 0, 0, -104, -12, 3, 6, , 2020-08-20T13:46:52.898739
-73, 0, 0, -105, -12, 2, 7, , 2020-08-20T13:46:54.237815
-73, 0, 0, -105, -12, 2, 7, , 2020-08-20T13:46:55.576892
-71, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:46:56.881966
-71, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:46:58.197042
-71, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:46:59.548119
-73, 0, 0, -106, -13, 2, 4, , 2020-08-20T13:47:00.877195
-73, 0, 0, -106, -13, 2, 4, , 2020-08-20T13:47:02.202271
-73, 0, 0, -105, -13, 2, 7, , 2020-08-20T13:47:03.578349
-73, 0, 0, -105, -13, 2, 7, , 2020-08-20T13:47:04.897425
-73, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:06.201500
-73, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:07.557577
-73, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:47:08.879653
-73, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:47:10.182727
-73, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:47:11.518804
-73, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:47:12.856880
-73, 0, 0, -105, -12, 2, 6, , 2020-08-20T13:47:14.160955
-73, 0, 0, -105, -13, 2, 3, , 2020-08-20T13:47:15.520033
-73, 0, 0, -105, -13, 2, 3, , 2020-08-20T13:47:16.858109
-71, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:47:18.182185
-71, 0, 0, -104, -12, 3, 8, , 2020-08-20T13:47:19.546263
-71, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:20.857338
-71, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:22.217416
-71, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:23.563493
-71, 0, 0, -104, -12, 3, 5, , 2020-08-20T13:47:24.876568
