rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-79, 0, 0, -106, -12, 2, 3, , 2020-08-17T19:26:06.977212
-79, 0, 0, -113, -15, 2, 0, , 2020-08-17T19:26:08.317289
-79, 0, 0, -113, -15, 2, 0, , 2020-08-17T19:26:09.611363
-79, 0, 0, -112, -14, 2, 3, , 2020-08-17T19:26:10.934438
-79, 0, 0, -112, -14, 2, 3, , 2020-08-17T19:26:12.295516
-79, 0, 0, -112, -13, 2, 1, , 2020-08-17T19:26:13.655594
-79, 0, 0, -112, -13, 2, 1, , 2020-08-17T19:26:15.006671
-77, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:26:16.408751
-77, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:26:17.745828
-77, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:26:19.089905
-77, 0, 0, -112, -15, 2, 2, , 2020-08-17T19:26:20.450983
-77, 0, 0, -112, -15, 2, 2, , 2020-08-17T19:26:21.767058
-77, 0, 0, -112, -14, 2, 2, , 2020-08-17T19:26:23.137136
-77, 0, 0, -112, -14, 2, 2, , 2020-08-17T19:26:24.470213
-77, 0, 0, -112, -14, 2, 0, , 2020-08-17T19:26:25.809289
-77, 0, 0, -112, -14, 2, 0, , 2020-08-17T19:26:27.130365
-79, 0, 0, -112, -14, 2, 1, , 2020-08-17T19:26:28.512444
-79, 0, 0, -112, -14, 2, 1, , 2020-08-17T19:26:29.878522
-79, 0, 0, -112, -14, 2, 1, , 2020-08-17T19:26:31.208598
-79, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:26:32.509672
-79, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:26:33.876751
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:26:35.213827
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:26:36.573905
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:26:37.907981
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:26:39.239057
-77, 0, 0, -106, -12, 2, 3, , 2020-08-17T19:26:40.574134
-77, 0, 0, -106, -12, 2, 3, , 2020-08-17T19:26:41.938212
-77, 0, 0, -106, -12, 2, 3, , 2020-08-17T19:26:43.269288
-77, 0, 0, -113, -14, 2, 0, , 2020-08-17T19:26:44.608364
-77, 0, 0, -113, -14, 2, 0, , 2020-08-17T19:26:45.928440
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:26:47.283517
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:26:48.610593
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:26:49.951670
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:26:51.295747
-79, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:26:52.634823
-79, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:26:53.969900
-79, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:26:55.307976
-79, 0, 0, -113, -16, 2, 2, , 2020-08-17T19:26:56.653053
-79, 0, 0, -113, -16, 2, 2, , 2020-08-17T19:26:57.999130
-79, 0, 0, -113, -13, 2, 2, , 2020-08-17T19:26:59.329206
-79, 0, 0, -113, -13, 2, 2, , 2020-08-17T19:27:00.679284
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:27:02.035361
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:27:03.399439
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:27:04.725515
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:27:06.034590
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:27:07.430670
-81, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:27:08.769746
-81, 0, 0, -113, -14, 2, 2, , 2020-08-17T19:27:10.115823
-79, 0, 0, -114, -15, 2, 1, , 2020-08-17T19:27:11.447899
-79, 0, 0, -114, -15, 2, 1, , 2020-08-17T19:27:12.798977
-79, 0, 0, -112, -13, 2, 3, , 2020-08-17T19:27:14.126053
-79, 0, 0, -112, -13, 2, 3, , 2020-08-17T19:27:15.451128
-79, 0, 0, -114, -16, 2, 0, , 2020-08-17T19:27:16.807206
-79, 0, 0, -114, -16, 2, 0, , 2020-08-17T19:27:18.146283
-77, 0, 0, -113, -16, 2, 2, , 2020-08-17T19:27:19.515361
-77, 0, 0, -113, -16, 2, 2, , 2020-08-17T19:27:20.886439
-77, 0, 0, -113, -16, 2, 2, , 2020-08-17T19:27:22.211515
-77, 0, 0, -114, -16, 2, 0, , 2020-08-17T19:27:23.553592
-77, 0, 0, -114, -16, 2, 0, , 2020-08-17T19:27:24.889668
-80, 0, 0, -112, -13, 2, 1, , 2020-08-17T19:27:26.248746
-80, 0, 0, -112, -13, 2, 1, , 2020-08-17T19:27:27.567822
-80, 0, 0, -114, -14, 2, 0, , 2020-08-17T19:27:28.923899
-80, 0, 0, -114, -14, 2, 0, , 2020-08-17T19:27:30.218973
-77, 0, 0, -112, -15, 2, 3, , 2020-08-17T19:27:31.576051
-77, 0, 0, -112, -15, 2, 3, , 2020-08-17T19:27:32.927128
-77, 0, 0, -112, -15, 2, 3, , 2020-08-17T19:27:34.288206
-77, 0, 0, -113, -16, 2, 1, , 2020-08-17T19:27:35.629283
-77, 0, 0, -113, -16, 2, 1, , 2020-08-17T19:27:36.965359
-77, 0, 0, -114, -15, 2, 0, , 2020-08-17T19:27:38.334437
-77, 0, 0, -114, -15, 2, 0, , 2020-08-17T19:27:39.667514
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:27:40.985589
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:27:42.310665
-79, 0, 0, -113, -15, 2, 0, , 2020-08-17T19:27:43.644741
-79, 0, 0, -113, -15, 2, 0, , 2020-08-17T19:27:44.965817
-79, 0, 0, -113, -15, 2, 0, , 2020-08-17T19:27:46.302893
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:27:47.643970
-79, 0, 0, -114, -15, 2, 2, , 2020-08-17T19:27:48.964045
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:27:50.302122
-79, 0, 0, -113, -15, 2, 2, , 2020-08-17T19:27:51.662200
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:27:53.007277
-79, 0, 0, -113, -15, 2, 1, , 2020-08-17T19:27:54.368354
-79, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:27:55.702431
-79, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:27:57.065509
-79, 0, 0, -112, -15, 2, 1, , 2020-08-17T19:27:58.478589
-79, 0, 0, -113, -16, 2, 0, , 2020-08-17T19:27:59.775664
-79, 0, 0, -113, -16, 2, 0, , 2020-08-17T19:28:01.125741
-79, 0, 0, -114, -16, 2, 1, , 2020-08-17T19:28:02.509820
-79, 0, 0, -114, -16, 2, 1, , 2020-08-17T19:28:03.823895
