rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-82, 0, 0, -112, -11, 2, 5, , 2020-08-24T22:59:57.811996
-82, 0, 0, -112, -11, 2, 5, , 2020-08-24T22:59:59.170074
-82, 0, 0, -113, -10, 2, 5, , 2020-08-24T23:00:00.514151
-82, 0, 0, -113, -10, 2, 5, , 2020-08-24T23:00:01.848227
-82, 0, 0, -113, -12, 2, 2, , 2020-08-24T23:00:03.190304
-82, 0, 0, -113, -12, 2, 2, , 2020-08-24T23:00:04.551382
-82, 0, 0, -113, -12, 2, 2, , 2020-08-24T23:00:05.895459
-77, 0, 0, -112, -13, 2, 6, , 2020-08-24T23:00:07.101528
-77, 0, 0, -112, -13, 2, 6, , 2020-08-24T23:00:08.460606
-82, 0, 0, -111, -11, 2, 8, , 2020-08-24T23:00:09.790682
-82, 0, 0, -111, -11, 2, 8, , 2020-08-24T23:00:11.128758
-77, 0, 0, -113, -12, 2, 4, , 2020-08-24T23:00:12.491836
-77, 0, 0, -113, -12, 2, 4, , 2020-08-24T23:00:13.850914
-81, 0, 0, -112, -12, 2, 7, , 2020-08-24T23:00:15.187990
-81, 0, 0, -112, -12, 2, 7, , 2020-08-24T23:00:16.552068
-81, 0, 0, -112, -12, 2, 7, , 2020-08-24T23:00:17.897145
-81, 0, 0, -113, -12, 2, 4, , 2020-08-24T23:00:19.227221
-81, 0, 0, -113, -12, 2, 4, , 2020-08-24T23:00:20.572298
-81, 0, 0, -111, -11, 2, 3, , 2020-08-24T23:00:21.889374
-81, 0, 0, -111, -11, 2, 3, , 2020-08-24T23:00:23.212449
-81, 0, 0, -112, -12, 2, 6, , 2020-08-24T23:00:24.549526
-81, 0, 0, -112, -12, 2, 6, , 2020-08-24T23:00:25.891603
-78, 0, 0, -111, -11, 2, 6, , 2020-08-24T23:00:27.209678
-78, 0, 0, -111, -11, 2, 6, , 2020-08-24T23:00:28.564755
-78, 0, 0, -111, -11, 2, 6, , 2020-08-24T23:00:29.916833
-82, 0, 0, -112, -13, 2, 5, , 2020-08-24T23:00:31.226908
-82, 0, 0, -112, -13, 2, 5, , 2020-08-24T23:00:32.587986
-82, 0, 0, -114, -12, 2, 5, , 2020-08-24T23:00:33.926062
-82, 0, 0, -114, -12, 2, 5, , 2020-08-24T23:00:35.251138
-82, 0, 0, -114, -12, 2, 4, , 2020-08-24T23:00:36.586214
-82, 0, 0, -114, -12, 2, 4, , 2020-08-24T23:00:37.926291
-82, 0, 0, -107, -9, 2, 6, , 2020-08-24T23:00:39.248366
-82, 0, 0, -107, -9, 2, 6, , 2020-08-24T23:00:40.605444
-82, 0, 0, -109, -11, 2, 5, , 2020-08-24T23:00:41.969522
-82, 0, 0, -109, -11, 2, 5, , 2020-08-24T23:00:43.330600
-82, 0, 0, -109, -11, 2, 5, , 2020-08-24T23:00:44.667676
-82, 0, 0, -112, -10, 2, 8, , 2020-08-24T23:00:46.007753
-82, 0, 0, -112, -10, 2, 8, , 2020-08-24T23:00:47.308827
-80, 0, 0, -112, -13, 2, 6, , 2020-08-24T23:00:48.668905
-80, 0, 0, -112, -13, 2, 6, , 2020-08-24T23:00:49.986981
-80, 0, 0, -111, -12, 2, 8, , 2020-08-24T23:00:51.313057
-80, 0, 0, -111, -12, 2, 8, , 2020-08-24T23:00:52.647133
-80, 0, 0, -111, -12, 2, 5, , 2020-08-24T23:00:53.988210
-80, 0, 0, -111, -12, 2, 5, , 2020-08-24T23:00:55.303285
-80, 0, 0, -111, -12, 2, 5, , 2020-08-24T23:00:56.666363
-78, 0, 0, -110, -10, 2, 7, , 2020-08-24T23:00:58.006439
