rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-82, 0, 0, -112, -13, 2, 5, , 2020-08-22T23:54:03.861065
-82, 0, 0, -112, -13, 2, 5, , 2020-08-22T23:54:05.197142
-82, 0, 0, -112, -13, 2, 5, , 2020-08-22T23:54:06.544219
-78, 0, 0, -111, -12, 2, 5, , 2020-08-22T23:54:07.896296
-78, 0, 0, -111, -12, 2, 5, , 2020-08-22T23:54:09.257374
-82, 0, 0, -109, -10, 2, 6, , 2020-08-22T23:54:10.563449
-82, 0, 0, -109, -10, 2, 6, , 2020-08-22T23:54:11.881524
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:13.240602
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:14.543676
-80, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:15.879753
-80, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:17.238830
-80, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:18.561906
-80, 0, 0, -113, -11, 2, 6, , 2020-08-22T23:54:19.878981
-80, 0, 0, -113, -11, 2, 6, , 2020-08-22T23:54:21.222058
-80, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:22.561135
-80, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:23.896211
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:25.259289
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:26.597366
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:27.958443
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:29.301520
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:30.602595
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:31.921670
-82, 0, 0, -112, -11, 2, 6, , 2020-08-22T23:54:33.283748
-82, 0, 0, -113, -11, 2, 6, , 2020-08-22T23:54:34.617824
-82, 0, 0, -113, -11, 2, 6, , 2020-08-22T23:54:35.976902
-82, 0, 0, -113, -11, 2, 5, , 2020-08-22T23:54:37.340980
-82, 0, 0, -113, -11, 2, 5, , 2020-08-22T23:54:38.716059
