rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-79, 0, 0, -112, -13, 2, 5, , 2020-08-23T11:54:14.926597
-79, 0, 0, -112, -13, 2, 5, , 2020-08-23T11:54:16.264673
-79, 0, 0, -112, -12, 2, 6, , 2020-08-23T11:54:17.616751
-79, 0, 0, -112, -12, 2, 6, , 2020-08-23T11:54:18.945827
-81, 0, 0, -111, -12, 2, 7, , 2020-08-23T11:54:20.246901
-81, 0, 0, -111, -12, 2, 7, , 2020-08-23T11:54:21.584978
-78, 0, 0, -111, -12, 2, 9, , 2020-08-23T11:54:22.951056
-78, 0, 0, -111, -12, 2, 9, , 2020-08-23T11:54:24.282132
-78, 0, 0, -111, -12, 2, 9, , 2020-08-23T11:54:25.602207
-81, 0, 0, -112, -13, 2, 4, , 2020-08-23T11:54:26.919283
-81, 0, 0, -112, -13, 2, 4, , 2020-08-23T11:54:28.245359
-79, 0, 0, -112, -12, 2, 5, , 2020-08-23T11:54:29.563434
-79, 0, 0, -112, -12, 2, 5, , 2020-08-23T11:54:30.918511
-82, 0, 0, -112, -12, 2, 6, , 2020-08-23T11:54:32.239587
-82, 0, 0, -112, -12, 2, 6, , 2020-08-23T11:54:33.577664
-80, 0, 0, -112, -13, 2, 3, , 2020-08-23T11:54:34.903739
-80, 0, 0, -112, -13, 2, 3, , 2020-08-23T11:54:36.223815
-80, 0, 0, -112, -13, 2, 3, , 2020-08-23T11:54:37.578892
-80, 0, 0, -113, -13, 2, 7, , 2020-08-23T11:54:38.896968
-80, 0, 0, -113, -13, 2, 7, , 2020-08-23T11:54:40.225044
-80, 0, 0, -112, -12, 2, 4, , 2020-08-23T11:54:41.557120
-80, 0, 0, -112, -12, 2, 4, , 2020-08-23T11:54:42.922198
-80, 0, 0, -112, -12, 2, 4, , 2020-08-23T11:54:44.257274
-80, 0, 0, -112, -12, 2, 4, , 2020-08-23T11:54:45.595351
-80, 0, 0, -113, -14, 2, 6, , 2020-08-23T11:54:46.922427
-80, 0, 0, -113, -14, 2, 6, , 2020-08-23T11:54:48.242502
-80, 0, 0, -113, -14, 2, 6, , 2020-08-23T11:54:49.557578
-80, 0, 0, -112, -13, 2, 3, , 2020-08-23T11:54:50.896654
-80, 0, 0, -112, -13, 2, 3, , 2020-08-23T11:54:52.217730
-80, 0, 0, -112, -12, 2, 2, , 2020-08-23T11:54:53.539805
-80, 0, 0, -112, -12, 2, 2, , 2020-08-23T11:54:54.879882
-80, 0, 0, -113, -13, 2, 3, , 2020-08-23T11:54:56.220959
-80, 0, 0, -113, -13, 2, 3, , 2020-08-23T11:54:57.556035
