rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-78, 0, 0, -112, -12, 2, 3, '', '2020-08-15T10:56:32.076833'
-78, 0, 0, -112, -12, 2, 3, '', '2020-08-15T10:56:33.418910'
-80, 0, 0, -111, -13, 2, 4, '', '2020-08-15T10:56:34.756986'
-80, 0, 0, -111, -13, 2, 4, '', '2020-08-15T10:56:36.080062'
-80, 0, 0, -111, -13, 2, 4, '', '2020-08-15T10:56:37.419139'
-78, 0, 0, -113, -13, 2, 2, '', '2020-08-15T10:56:38.756215'
-78, 0, 0, -113, -13, 2, 2, '', '2020-08-15T10:56:40.082291'
-80, 0, 0, -113, -15, 2, 2, '', '2020-08-15T10:56:41.420367'
-80, 0, 0, -113, -15, 2, 2, '', '2020-08-15T10:56:42.739443'
