rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-77, 0, 0, -112, -13, 2, 3, , 2020-08-29T10:59:30.918707
-77, 0, 0, -112, -13, 2, 3, , 2020-08-29T10:59:32.295786
-79, 0, 0, -113, -15, 2, 3, , 2020-08-29T10:59:33.641863
-79, 0, 0, -113, -15, 2, 3, , 2020-08-29T10:59:34.998941
-82, 0, 0, -113, -13, 2, 4, , 2020-08-29T10:59:36.325017
-82, 0, 0, -113, -13, 2, 4, , 2020-08-29T10:59:37.657093
-79, 0, 0, -112, -12, 2, 5, , 2020-08-29T10:59:38.999170
-79, 0, 0, -112, -12, 2, 5, , 2020-08-29T10:59:40.345247
-81, 0, 0, -113, -12, 2, 1, , 2020-08-29T10:59:41.682323
-81, 0, 0, -113, -12, 2, 1, , 2020-08-29T10:59:43.020400
-81, 0, 0, -113, -12, 2, 1, , 2020-08-29T10:59:44.366477
-77, 0, 0, -111, -12, 2, 4, , 2020-08-29T10:59:45.677552
-77, 0, 0, -111, -12, 2, 4, , 2020-08-29T10:59:47.003627
-79, 0, 0, -112, -12, 2, 3, , 2020-08-29T10:59:48.380706
-79, 0, 0, -112, -12, 2, 3, , 2020-08-29T10:59:49.774786
-79, 0, 0, -114, -14, 2, 2, , 2020-08-29T10:59:51.100862
-79, 0, 0, -114, -14, 2, 2, , 2020-08-29T10:59:52.444939
-79, 0, 0, -111, -14, 2, 5, , 2020-08-29T10:59:53.804016
-79, 0, 0, -111, -14, 2, 5, , 2020-08-29T10:59:55.118091
-79, 0, 0, -111, -14, 2, 5, , 2020-08-29T10:59:56.464168
-79, 0, 0, -113, -14, 2, 1, , 2020-08-29T10:59:57.816246
-79, 0, 0, -113, -14, 2, 1, , 2020-08-29T10:59:59.329332
-79, 0, 0, -114, -15, 2, 1, , 2020-08-29T11:00:00.678410
-79, 0, 0, -114, -15, 2, 1, , 2020-08-29T11:00:01.996485
-81, 0, 0, -108, -12, 2, 6, , 2020-08-29T11:00:03.356563
-81, 0, 0, -108, -12, 2, 6, , 2020-08-29T11:00:04.775644
-76, 0, 0, -112, -15, 2, 2, , 2020-08-29T11:00:06.112720
-76, 0, 0, -112, -15, 2, 2, , 2020-08-29T11:00:07.456797
-79, 0, 0, -112, -13, 2, 2, , 2020-08-29T11:00:08.798874
-79, 0, 0, -112, -13, 2, 2, , 2020-08-29T11:00:10.212955
-79, 0, 0, -111, -12, 2, 3, , 2020-08-29T11:00:11.575033
-79, 0, 0, -111, -12, 2, 3, , 2020-08-29T11:00:12.887108
-79, 0, 0, -111, -12, 2, 3, , 2020-08-29T11:00:14.252186
-76, 0, 0, -109, -12, 2, 4, , 2020-08-29T11:00:15.593263
-76, 0, 0, -109, -12, 2, 4, , 2020-08-29T11:00:16.987342
-80, 0, 0, -112, -13, 2, 4, , 2020-08-29T11:00:18.353420
-80, 0, 0, -112, -13, 2, 4, , 2020-08-29T11:00:19.674496
-80, 0, 0, -112, -13, 2, 3, , 2020-08-29T11:00:21.016573
-80, 0, 0, -112, -13, 2, 3, , 2020-08-29T11:00:22.372650
-76, 0, 0, -112, -13, 2, 1, , 2020-08-29T11:00:23.692726
-76, 0, 0, -112, -13, 2, 1, , 2020-08-29T11:00:24.995800
-76, 0, 0, -112, -13, 2, 1, , 2020-08-29T11:00:26.373879
-76, 0, 0, -111, -12, 2, 3, , 2020-08-29T11:00:27.696955
-76, 0, 0, -111, -12, 2, 3, , 2020-08-29T11:00:29.015030
-76, 0, 0, -111, -13, 2, 4, , 2020-08-29T11:00:30.392109
-76, 0, 0, -111, -13, 2, 4, , 2020-08-29T11:00:31.732186
-78, 0, 0, -111, -13, 2, 5, , 2020-08-29T11:00:33.058262
-78, 0, 0, -111, -13, 2, 5, , 2020-08-29T11:00:34.402338
-78, 0, 0, -111, -13, 2, 2, , 2020-08-29T11:00:35.733415
-78, 0, 0, -111, -13, 2, 2, , 2020-08-29T11:00:37.057490
-78, 0, 0, -111, -13, 2, 2, , 2020-08-29T11:00:38.417568
