rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-78, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:06:56.429538
-81, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:06:57.748614
-81, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:06:59.077690
-81, 0, 0, -113, -12, 2, 4, , 2020-08-22T10:07:00.406766
-81, 0, 0, -113, -12, 2, 4, , 2020-08-22T10:07:01.744842
-81, 0, 0, -112, -12, 2, 6, , 2020-08-22T10:07:03.101920
-81, 0, 0, -112, -12, 2, 6, , 2020-08-22T10:07:04.408995
-81, 0, 0, -112, -12, 2, 6, , 2020-08-22T10:07:05.725070
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:07.068147
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:08.388222
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:09.704298
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:11.011372
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:12.330448
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:13.646523
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:14.991600
-81, 0, 0, -112, -13, 2, 5, , 2020-08-22T10:07:16.329677
-81, 0, 0, -112, -13, 2, 5, , 2020-08-22T10:07:17.688754
-81, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:07:19.048832
-81, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:07:20.369908
-79, 0, 0, -113, -14, 2, 6, , 2020-08-22T10:07:21.727985
-79, 0, 0, -113, -14, 2, 6, , 2020-08-22T10:07:23.069062
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:24.386137
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:25.710213
-81, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:27.055290
-81, 0, 0, -112, -13, 2, 6, , 2020-08-22T10:07:28.384366
-81, 0, 0, -112, -13, 2, 6, , 2020-08-22T10:07:29.704442
-81, 0, 0, -114, -13, 2, 2, , 2020-08-22T10:07:31.030518
-81, 0, 0, -114, -13, 2, 2, , 2020-08-22T10:07:32.363594
-81, 0, 0, -113, -13, 2, 1, , 2020-08-22T10:07:33.703670
-81, 0, 0, -113, -13, 2, 1, , 2020-08-22T10:07:35.066748
-79, 0, 0, -115, -15, 1, 0, , 2020-08-22T10:07:36.404825
-79, 0, 0, -115, -15, 1, 0, , 2020-08-22T10:07:37.723900
-79, 0, 0, -115, -15, 1, 0, , 2020-08-22T10:07:39.047976
-81, 0, 0, -114, -14, 2, 2, , 2020-08-22T10:07:40.388053
-81, 0, 0, -114, -14, 2, 2, , 2020-08-22T10:07:41.723129
-81, 0, 0, -112, -13, 2, 3, , 2020-08-22T10:07:43.039204
-81, 0, 0, -112, -13, 2, 3, , 2020-08-22T10:07:44.364280
-78, 0, 0, -114, -15, 2, 2, , 2020-08-22T10:07:45.685356
-78, 0, 0, -114, -15, 2, 2, , 2020-08-22T10:07:47.002431
-80, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:07:48.308506
-80, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:07:49.621581
-80, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:07:50.960657
-80, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:07:52.266732
-80, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:07:53.581807
-80, 0, 0, -113, -12, 2, 4, , 2020-08-22T10:07:54.905883
-80, 0, 0, -113, -12, 2, 4, , 2020-08-22T10:07:56.222958
-80, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:57.546034
-80, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:07:58.866110
-80, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:08:00.205186
-80, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:08:01.524262
-80, 0, 0, -113, -13, 2, 5, , 2020-08-22T10:08:02.841337
-80, 0, 0, -113, -14, 2, 3, , 2020-08-22T10:08:04.162413
-80, 0, 0, -113, -14, 2, 3, , 2020-08-22T10:08:05.497489
-82, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:06.820565
-82, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:08.142640
-82, 0, 0, -113, -13, 2, 2, , 2020-08-22T10:08:09.458715
-82, 0, 0, -113, -13, 2, 2, , 2020-08-22T10:08:10.780791
-79, 0, 0, -114, -13, 2, 2, , 2020-08-22T10:08:12.122868
-79, 0, 0, -114, -13, 2, 2, , 2020-08-22T10:08:13.461944
-79, 0, 0, -114, -13, 2, 2, , 2020-08-22T10:08:14.779020
-79, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:16.119096
-79, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:17.459173
-79, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:18.799250
-79, 0, 0, -113, -13, 2, 4, , 2020-08-22T10:08:20.139326
-79, 0, 0, -112, -12, 2, 5, , 2020-08-22T10:08:21.483403
