rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:27:55.453057
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:27:56.811135
-74, 0, 0, -108, -15, 2, 3, , 2020-08-19T22:27:58.134211
-74, 0, 0, -108, -15, 2, 3, , 2020-08-19T22:27:59.495288
-80, 0, 0, -111, -11, 2, 0, , 2020-08-19T22:28:00.834365
-80, 0, 0, -111, -11, 2, 0, , 2020-08-19T22:28:02.171441
-77, 0, 0, -113, -14, 2, -1, , 2020-08-19T22:28:03.380511
-77, 0, 0, -113, -14, 2, -1, , 2020-08-19T22:28:04.711587
-77, 0, 0, -113, -14, 2, -1, , 2020-08-19T22:28:06.031662
-80, 0, 0, -112, -13, 2, 2, , 2020-08-19T22:28:07.393740
-80, 0, 0, -112, -13, 2, 2, , 2020-08-19T22:28:08.731817
-78, 0, 0, -114, -14, 2, 0, , 2020-08-19T22:28:10.050892
-78, 0, 0, -114, -14, 2, 0, , 2020-08-19T22:28:11.356967
-80, 0, 0, -114, -14, 2, 0, , 2020-08-19T22:28:12.658041
-80, 0, 0, -114, -14, 2, 0, , 2020-08-19T22:28:13.975117
-80, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:15.293192
-80, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:16.597267
-80, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:17.913342
-80, 0, 0, -114, -14, 2, 1, , 2020-08-19T22:28:19.250418
-80, 0, 0, -114, -14, 2, 1, , 2020-08-19T22:28:20.574494
-80, 0, 0, -114, -15, 2, -1, , 2020-08-19T22:28:21.872568
-80, 0, 0, -114, -15, 2, -1, , 2020-08-19T22:28:23.210645
-80, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:28:24.516719
-80, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:28:25.878797
-77, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:27.235875
-77, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:28.575952
-77, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:29.955031
-79, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:31.318109
-79, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:32.659185
-79, 0, 0, -113, -15, 2, -1, , 2020-08-19T22:28:33.973260
-79, 0, 0, -113, -15, 2, -1, , 2020-08-19T22:28:35.310337
-79, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:36.630412
-79, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:37.938487
-72, 0, 0, -107, -15, 2, 1, , 2020-08-19T22:28:39.304565
-72, 0, 0, -107, -15, 2, 1, , 2020-08-19T22:28:40.663643
-72, 0, 0, -107, -15, 2, 1, , 2020-08-19T22:28:41.972718
-78, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:28:43.292793
-78, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:28:44.613869
-78, 0, 0, -112, -13, 2, 2, , 2020-08-19T22:28:45.915943
-78, 0, 0, -112, -13, 2, 2, , 2020-08-19T22:28:47.232019
-78, 0, 0, -112, -14, 2, 1, , 2020-08-19T22:28:48.550094
-78, 0, 0, -112, -14, 2, 1, , 2020-08-19T22:28:49.889171
-78, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:28:51.214247
-78, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:28:52.533322
-78, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:28:53.872399
-78, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:55.209475
-78, 0, 0, -113, -14, 2, 0, , 2020-08-19T22:28:56.533551
-80, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:28:57.870627
-80, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:28:59.190703
-80, 0, 0, -112, -13, 2, 1, , 2020-08-19T22:29:00.530779
-80, 0, 0, -112, -13, 2, 1, , 2020-08-19T22:29:01.873856
-80, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:29:03.231934
-80, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:29:04.551009
-80, 0, 0, -114, -15, 2, 0, , 2020-08-19T22:29:05.909087
-80, 0, 0, -112, -14, 2, 0, , 2020-08-19T22:29:07.268165
-80, 0, 0, -112, -14, 2, 0, , 2020-08-19T22:29:08.593241
-72, 0, 0, -108, -14, 2, 2, , 2020-08-19T22:29:09.934317
-72, 0, 0, -108, -14, 2, 2, , 2020-08-19T22:29:11.271394
-78, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:12.608470
-78, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:13.969548
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:15.291624
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:16.627700
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:18.006779
-80, 0, 0, -113, -14, 2, 2, , 2020-08-19T22:29:19.351856
-80, 0, 0, -113, -14, 2, 2, , 2020-08-19T22:29:20.667931
-80, 0, 0, -114, -14, 2, 1, , 2020-08-19T22:29:21.985006
-80, 0, 0, -114, -14, 2, 1, , 2020-08-19T22:29:23.215077
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:24.548153
-80, 0, 0, -113, -13, 2, 1, , 2020-08-19T22:29:25.923232
-77, 0, 0, -113, -15, 2, 2, , 2020-08-19T22:29:27.270309
-77, 0, 0, -113, -15, 2, 2, , 2020-08-19T22:29:28.609385
-77, 0, 0, -113, -15, 2, 2, , 2020-08-19T22:29:29.974463
-79, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:29:31.473549
-79, 0, 0, -113, -14, 2, 1, , 2020-08-19T22:29:32.788624
-73, 0, 0, -107, -15, 2, 2, , 2020-08-19T22:29:34.130701
-73, 0, 0, -107, -15, 2, 2, , 2020-08-19T22:29:35.469778
-79, 0, 0, -112, -14, 2, 1, , 2020-08-19T22:29:36.834856
-79, 0, 0, -112, -14, 2, 1, , 2020-08-19T22:29:38.166932
-74, 0, 0, -107, -14, 2, 5, , 2020-08-19T22:29:39.572012
-74, 0, 0, -107, -14, 2, 5, , 2020-08-19T22:29:40.891088
-72, 0, 0, -108, -15, 2, 2, , 2020-08-19T22:29:42.286168
-72, 0, 0, -108, -15, 2, 2, , 2020-08-19T22:29:43.590242
-72, 0, 0, -108, -15, 2, 2, , 2020-08-19T22:29:44.908318
-75, 0, 0, -108, -15, 2, 2, , 2020-08-19T22:29:46.225393
-75, 0, 0, -108, -15, 2, 2, , 2020-08-19T22:29:47.549469
-75, 0, 0, -107, -14, 2, 2, , 2020-08-19T22:29:48.883545
-75, 0, 0, -107, -14, 2, 2, , 2020-08-19T22:29:50.229622
-75, 0, 0, -107, -11, 2, 4, , 2020-08-19T22:29:51.509695
-75, 0, 0, -107, -11, 2, 4, , 2020-08-19T22:29:52.811770
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:29:54.113844
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:29:55.448921
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:29:56.765996
-73, 0, 0, -108, -13, 2, 3, , 2020-08-19T22:29:58.084071
-73, 0, 0, -108, -13, 2, 3, , 2020-08-19T22:29:59.387146
-73, 0, 0, -107, -12, 2, 2, , 2020-08-19T22:30:00.718222
-73, 0, 0, -107, -12, 2, 2, , 2020-08-19T22:30:02.047298
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:30:03.371374
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:30:04.710450
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:30:06.065528
-75, 0, 0, -107, -13, 2, 3, , 2020-08-19T22:30:07.392604
